,MB64 台灣-銀行業-一個月存款牌告利率-期底-月(%)
年月,數值
2000/1/31,4.42
2000/2/29,4.42
2000/3/31,4.42
2000/4/29,4.41
2000/5/31,4.41
2000/6/30,4.41
2000/7/31,4.41
2000/8/31,4.41
2000/9/30,4.34
2000/10/31,4.34
2000/11/30,4.34
2000/12/30,4.34
2001/1/31,4.34
2001/2/27,4.28
2001/3/30,4.18
2001/4/30,3.88
2001/5/31,3.71
2001/6/29,3.71
2001/7/31,3.5
2001/8/31,3.25
2001/9/28,2.87
2001/10/31,2.54
2001/11/30,2.17
2001/12/31,2.13
2002/1/31,2.01
2002/2/27,2.01
2002/3/29,2.01
2002/4/30,2.05
2002/5/31,2.05
2002/6/28,1.99
2002/7/31,1.73
2002/8/30,1.73
2002/9/30,1.73
2002/10/31,1.73
2002/11/29,1.48
2002/12/31,1.48
2003/1/28,1.17
2003/2/27,1.17
2003/3/31,1.17
2003/4/30,1.17
2003/5/30,1.17
2003/6/30,1.17
2003/7/31,1.05
2003/8/29,1.05
2003/9/30,1.05
2003/10/31,1.05
2003/11/28,1.05
2003/12/31,1.05
2004/1/30,1.05
2004/2/27,1.05
2004/3/31,1.05
2004/4/30,1.05
2004/5/31,1.05
2004/6/30,1.05
2004/7/30,1.05
2004/8/31,1.05
2004/9/30,1.05
2004/10/29,1.15
2004/11/30,1.15
2004/12/31,1.15
2005/1/31,1.22
2005/2/25,1.22
2005/3/31,1.29
2005/4/29,1.29
2005/5/31,1.29
2005/6/30,1.29
2005/7/29,1.36
2005/8/31,1.36
2005/9/30,1.43
2005/10/31,1.43
2005/11/30,1.43
2005/12/30,1.5
2006/1/25,1.5
2006/2/27,1.5
2006/3/31,1.5
2006/4/28,1.57
2006/5/30,1.57
2006/6/30,1.57
2006/7/31,1.64
2006/8/31,1.64
2006/9/29,1.64
2006/10/31,1.71
2006/11/30,1.71
2006/12/29,1.71
2007/1/31,1.74
2007/2/27,1.74
2007/3/30,1.74
2007/4/30,1.77
2007/5/31,1.77
2007/6/29,1.97
2007/7/31,1.97
2007/8/31,1.97
2007/9/29,2.03
2007/10/31,2.03
2007/11/30,2.03
2007/12/31,2.09
2008/1/31,2.09
2008/2/29,2.09
2008/3/31,2.09
2008/4/30,2.13
2008/5/30,2.13
2008/6/30,2.15
2008/7/31,2.19
2008/8/29,2.19
2008/9/30,2.17
2008/10/31,1.98
2008/11/28,1.66
2008/12/31,0.91
2009/1/21,0.41
2009/2/27,0.35
2009/3/31,0.35
2009/4/30,0.35
2009/5/27,0.35
2009/6/30,0.35
2009/7/31,0.35
2009/8/31,0.35
2009/9/30,0.35
2009/10/30,0.47
2009/11/30,0.47
2009/12/31,0.47
2010/1/29,0.47
2010/2/26,0.47
2010/3/31,0.47
2010/4/30,0.47
2010/5/31,0.47
2010/6/30,0.58
2010/7/30,0.58
2010/8/31,0.58
2010/9/30,0.58
2010/10/29,0.67
2010/11/30,0.67
2010/12/31,0.67
2011/1/28,0.75
2011/2/25,0.75
2011/3/31,0.75
2011/4/29,0.82
2011/5/31,0.82
2011/6/30,0.82
2011/7/29,0.88
2011/8/31,0.88
2011/9/30,0.88
2011/10/31,0.88
2011/11/30,0.88
2011/12/30,0.88
2012/1/31,0.88
2012/2/29,0.88
2012/3/30,0.88
2012/4/30,0.88
2012/5/31,0.88
2012/6/29,0.88
2012/7/31,0.88
2012/8/31,0.88
2012/9/28,0.88
2012/10/31,0.88
2012/11/30,0.88
2012/12/28,0.88
2013/1/31,0.88
2013/2/27,0.88
2013/3/29,0.88
2013/4/30,0.88
2013/5/31,0.88
2013/6/28,0.88
2013/7/31,0.88
2013/8/30,0.88
2013/9/30,0.88
2013/10/31,0.88
2013/11/29,0.88
2013/12/31,0.88
2014/1/27,0.88
2014/2/27,0.88
2014/3/31,0.88
2014/4/30,0.88
2014/5/30,0.88
2014/6/30,0.88
2014/7/31,0.88
2014/8/29,0.88
2014/9/30,0.88
2014/10/31,0.88
2014/11/28,0.88
2014/12/31,0.88
2015/1/30,0.88
2015/2/26,0.88
2015/3/31,0.88
2015/4/30,0.88
2015/5/29,0.88
2015/6/30,0.88
2015/7/31,0.88
2015/8/31,0.88
2015/9/30,0.81
2015/10/30,0.81
2015/11/30,0.81
2015/12/31,0.74
2016/1/30,0.74
2016/2/26,0.74
2016/3/31,0.67
2016/4/29,0.67
2016/5/31,0.67
2016/6/30,0.67
2016/7/29,0.6
2016/8/31,0.6
2016/9/30,0.6
2016/10/31,0.6
2016/11/30,0.6
2016/12/30,0.6
2017/1/24,0.06
2017/2/24,0.06
2017/3/31,0.6
2017/4/28,0.6
2017/5/31,0.6
2017/6/30,0.6
2017/7/31,0.6
2017/8/31,0.6
2017/9/30,
2017/10/31,
